timestamp,acceleration,pressure,model_velocity,stages,model_displacement,barometer_height,true_displacement,true_velocity
0.0,0.0009242883499930888,98.419,0.0,0,0.0,-1.0046126235054726,-0.5022400661654091,0.0
0.104,0.0006715811571852321,98.402,-0.008046853288875246,0,-0.0004184363710215128,-0.17409789738721648,-0.2949720274551753,-0.004044987954744572
0.208,0.0011118266888510342,98.399,-0.007954116080881361,0,-0.0012504867782488563,0.41309164487702155,-0.1284313741871448,-0.005371156193607598
0.312,0.0012396793297015526,98.408,-0.007831837767916627,0,-0.0020713563783863517,0.307935491785074,-0.05860825186857574,-0.006009161128075081
0.416,0.00037713774369843014,98.408,-0.007747763280099827,0,-0.002881495632883207,0.1996979701135505,-0.02777882143042685,-0.006378875145120449
0.52,0.0003688426096921789,98.403,-0.007708972301723516,0,-0.0036852458831380212,0.3237416548159983,0.002910209167440489,-0.006621780908191084
0.728,0.0006996882917801643,98.398,-0.007597845087970392,0,-0.005277154891666187,0.6682698579094047,0.04861060609330561,-0.006801516072348322
0.832,0.0007726682573259103,98.391,-0.007521282547416876,0,-0.006063349528706325,1.0512196881620848,0.10719442943396496,-0.00691881621449068
1.04,0.0005780706087096317,98.388,-0.00738080570534918,0,-0.007613166706993996,1.5046107341345547,0.1771373081615903,-0.006997553644872262
1.144,0.0005902453546567418,98.409,-0.0073200532752541285,0,-0.008377611373985367,1.0069022969370338,0.2086724128203885,-0.007047043701014019
1.248,0.0010129020521020447,98.412,-0.007236689610102672,0,-0.00913456200402392,0.6160866461319758,0.21661198821709604,-0.007073825973271291
1.352,0.0011307938656651586,98.394,-0.007125217422378777,0,-0.009881381169712957,0.7904780919176728,0.2304080364311805,-0.007080533756283433
1.456,0.0008586738639345646,98.406,-0.007021765100439592,0,-0.010617024260899511,0.6465517681369387,0.23646736236032356,-0.007073140335512602
1.56,0.0010243937590852297,98.404,-0.006923845584042562,0,-0.011342196016492584,0.5773062700186309,0.2391162322433433,-0.007055255492939809
1.664,0.001020346777985754,98.405,-0.006817519076114871,0,-0.01205674697882077,0.5013744575106388,0.238815914503616,-0.007027816282698767
1.768,0.0010312752300812502,98.406,-0.006710834731695386,0,-0.012760221376826903,0.4196763886953956,0.2359408128913663,-0.006992306525900409
1.872,0.0010546769040265945,98.404,-0.006602365220721778,0,-0.013452507774352597,0.388230424689295,0.23242498543426524,-0.006949652877905945
1.976,0.001162645134848633,98.405,-0.006487064474700267,0,-0.014133158118514542,0.3437058625852911,0.2280139184548491,-0.00690002606140521
2.08,0.0011244543038272717,98.4,-0.006368135303889119,0,-0.01480162850700119,0.39260568244327937,0.22530933636459355,-0.006843835402495075
