,Unnamed: 0,timestamp,acceleration,pressure,velocity
0,0,0.0,0.0004921844318908061,100.306,0.0
1,1,0.000208,0.0006781898560047193,100.312,1.2171892594113463e-07
2,2,0.000416,0.0008675835323358645,100.318,2.824793583285553e-07
3,3,0.0005200000000000001,0.0009307534137500917,100.306,3.759928795250251e-07
4,4,0.000728,0.00048528616177763385,100.305,5.232609953799085e-07
5,5,0.0009360000000000001,-0.005974920776716248,100.306,-4.766100457370757e-08
6,6,0.0010400000000000001,-0.012838053106075588,100.311,-1.0259356464788833e-06
7,7,0.001248,-0.02111008594424018,100.31,-4.556542107711721e-06
8,8,0.001456,-0.029897019563004383,100.324,-9.861281080465157e-06
9,9,0.00156,-0.038010394549614065,100.31,-1.3392466614321312e-05
10,10,0.001768,-0.04536499658920778,100.326,-2.2063507292758787e-05
11,11,0.001976,-0.05195932676181958,100.304,-3.2185236921265624e-05
12,12,0.0020800000000000003,-0.05716624385601259,100.322,-3.7859766593392916e-05
13,13,0.0022879999999999997,-0.06134364751022802,100.315,-5.01847952954819e-05
14,14,0.002496,-0.06485095914143785,100.318,-6.330903438725517e-05
15,15,0.0026,-0.06774267366412393,100.316,-7.020390329314438e-05
16,16,0.0028079999999999997,-0.07000411480221627,100.317,-8.452956929364375e-05
17,17,0.002912,-0.07187633733218601,100.309,-9.190735280463269e-05
18,18,0.00312,-0.07300263913422789,100.311,-0.00010697476635713972
19,19,0.003328,-0.07355988622130089,100.319,-0.0001222172689941147
20,20,0.003432,-0.07366214624559232,100.32,-0.00012987281468239317
21,21,0.00364,-0.07341255392014384,100.327,-0.0001451685834996297
22,22,0.003848,-0.07192005841459566,100.327,-0.0001602831751824426
23,23,0.003952,-0.06987403856188355,100.334,-0.00016765646822521952
24,24,0.0041600000000000005,-0.0673624103648506,100.333,-0.00018192905891359994
25,25,0.004368,-0.06461430696142634,100.32,-0.00019565463751553274
26,26,0.004472,-0.0618897139630831,100.33,-0.00020223284660360723
27,27,0.00468,-0.05914903743901564,100.331,-0.00021482087674942548
28,28,0.004894999999999999,-0.05645425432810128,100.339,-0.0002272482306143905
29,29,0.004999,-0.054191166142923394,100.34,-0.00023300179247888383
30,30,0.005207,-0.05203767738340834,100.338,-0.00024404959220562233
31,31,0.005415,-0.04993111638570286,100.345,-0.00025465434675760987
32,32,0.0055190000000000005,-0.04802611991103015,100.344,-0.00025974812304504
33,33,0.005727,-0.04705762580112902,100.343,-0.00026963683259910453
34,34,0.005934999999999999,-0.045860296798096487,100.342,-0.0002793002965494239
35,35,0.006039,-0.04468936146399828,100.351,-0.00028400887877905287
36,36,0.006247,-0.04351083547279225,100.355,-0.00029318169926047905
37,37,0.006351,-0.04227298609487181,100.35,-0.0002976424579819976
38,38,0.006559000000000001,-0.041011233668886996,100.352,-0.0003063040168374285
39,39,0.0067670000000000004,-0.039691943670136856,100.364,-0.00031469714728068695
40,40,0.006871,-0.03844012668657841,100.35,-0.0003187600149392361
41,41,0.007078999999999999,-0.03722858707907902,100.353,-0.00032662956117086444
42,42,0.007287,-0.03608715254059199,100.366,-0.00033425439809131027
43,43,0.007391,-0.03506721223382314,100.355,-0.00033795442505957983
44,44,0.007599,-0.034090805020156836,100.358,-0.00034514685885399373
45,45,0.007807000000000001,-0.03319317189344995,100.377,-0.0003521443924530089
46,46,0.007911,-0.03231846674651186,100.362,-0.00035555099766228687
47,47,0.008119,-0.03198147902537776,100.374,-0.0003622381920225634
48,48,0.008327,-0.03143915034490731,100.371,-0.000368833937477073
49,49,0.008431,-0.03086282665594164,100.377,-0.0003720736402811172
50,50,0.008638999999999999,-0.030194040240572526,100.375,-0.0003784235544383547
51,51,0.008846999999999999,-0.0294791654552757,100.378,-0.00038462956783072286
52,52,0.008951,-0.028834300318598908,100.377,-0.0003876618680509644
53,53,0.009159,-0.028091510666811904,100.381,-0.00039358215239344716
54,54,0.009367,-0.027369305643378083,100.374,-0.0003993500772897069
55,55,0.009471,-0.026716488333758302,100.378,-0.000402162538576518
56,56,0.009679,-0.026000694928137037,100.377,-0.0004076451256357551
57,57,0.009887,-0.025207806109790003,100.374,-0.0004129708097436995
58,58,0.009991,-0.024558197318858013,100.386,-0.0004155586419219892
59,59,0.010199,-0.02383583351174579,100.391,-0.000420591621128372
60,60,0.010303000000000001,-0.0232079330106332,100.384,-0.00042303789698753576
61,61,0.010511,-0.022522414919424957,100.386,-0.0004277938531722618
62,62,0.010719,-0.02182025218808084,100.388,-0.00043240549055144237
63,63,0.010823000000000001,-0.021258822696333342,100.389,-0.0004346456024454319
64,64,0.011031000000000001,-0.020477244931250412,100.393,-0.0004389861534787006
65,65,0.011239,-0.018916627659297636,100.39,-0.0004430831162281176
66,66,0.011343,-0.016363063376604037,100.402,-0.0004449176601619845
67,67,0.011551,-0.01175454126509959,100.394,-0.00044784189104472166
68,68,0.011759,-0.006012372966769866,100.396,-0.0004496896501248361
69,69,0.011863,-3.261266918068179e-05,100.397,-0.00045000398937790554
70,70,0.012071,0.00597945770678667,100.398,-0.0004493855174939945
71,71,0.012279,0.01106869805018907,100.405,-0.000447612509295269
72,72,0.012383,0.014785236905091328,100.402,-0.00044626810467759444
73,73,0.012591,0.01754484006016675,100.399,-0.0004429057766732076
74,74,0.012799,0.01911001611410435,100.399,-0.00043909367163108337
75,75,0.012903000000000001,0.019737235559823922,100.398,-0.0004370736145440391
76,76,0.013111000000000001,0.01995208105317017,100.398,-0.00043294592561628773
77,77,0.013319000000000001,0.019744614024238626,100.4,-0.0004288174693282372
