timestamp,acceleration,pressure,model_displacement,model_velocity,barometer_height,true_displacement,true_velocity,barometer_levels,stages
6.448,-0.0056935614,102.266,-0.0001272171338796618,-0.0012179998382925998,0.03942938622281642,-0.012312707577759893,0.013565315291741454,0.0,1.0
6.552,-0.005876621,102.275,-0.0002851748908907164,-0.0018196493349969351,-0.0016139018024700807,-0.008518207680771264,0.012768953026306044,0.0,1.0
6.656,-0.0055429963,102.264,-0.0005052970676422107,-0.002413469448685643,0.08509083743392158,0.005104338494971749,0.024183453161622827,0.0,1.0
6.76,-0.0054474045,102.27,-0.0007860159340649831,-0.002984970290213821,0.08880873156945336,0.015373376884015286,0.030413358198017035,0.0,1.0
6.864,-0.005263825,102.261,-0.0011254160085618485,-0.003541954219341276,0.1853668281288426,0.03406472307347972,0.04631536135568558,0.0,1.0
6.968,-0.00540055,102.268,-0.0015226157187223424,-0.004096501745283602,0.1857283525465761,0.04883159919054742,0.05484893255949659,0.0,1.0
7.072,-0.005497552,102.262,-0.001978120368242263,-0.004663203053176402,0.2438146835149648,0.06670955677819021,0.06585281124894618,0.0,1.0
7.176,-0.0056861546,102.263,-0.0024933342296183103,-0.005244755819439888,0.27685966602580797,0.0845461280282262,0.07498979342764187,0.0,1.0
7.28,-0.0056891553,102.275,-0.00306954767280817,-0.005836271934211254,0.1875453711492024,0.08997719622656206,0.06837309704339681,0.0,1.0
7.384,-0.005876423,102.266,-0.0037077932773381473,-0.006437681999057532,0.1965028350112376,0.09486072228412719,0.062475550052454865,0.0,1.0
7.488,-0.0059380988,102.262,-0.004409258671715857,-0.0070520371235907086,0.2374665015028967,0.10243703260696693,0.060658524675816436,0.0,1.0
7.592,-0.0060796477,102.263,-0.0051751665189862205,-0.00767695993930101,0.2610936652889849,0.11064062023195731,0.059855343252642024,0.0,1.0
7.696,-0.005412399,102.277,-0.006004644846484061,-0.008274546358734366,0.1649909927155324,0.10804570115695702,0.047503426807874206,0.0,1.0
7.8,-0.005455616,102.262,-0.006894584779724475,-0.008839683126658199,0.20378921209992695,0.1088521845930388,0.04077113126584139,0.0,1.0
7.904,-0.0051823603,102.265,-0.007842676912620661,-0.009392857890576123,0.21254013754717138,0.10986385993877125,0.03529727355756417,0.0,1.0
8.008,-0.005259459,102.267,-0.00884776881237327,-0.009935832489281886,0.20404831747766433,0.10950609088690108,0.029192435880634405,0.0,1.0
8.112,-0.005269557,102.263,-0.009909565848395228,-0.010483341280370949,0.22629175510628186,0.11078970525328713,0.0257410488578774,0.0,1.0
8.216,-0.0054667657,102.27,-0.011028864356324067,-0.011041630025953049,0.1927585301763993,0.10848898443144434,0.018987484953601468,0.0,1.0
8.32,-0.0054553193,102.258,-0.012206727198198439,-0.011609578471630811,0.2517464617156095,0.11140964537764456,0.01876923561693266,0.0,1.0
8.424,-0.0056791147,102.265,-0.013444230870112768,-0.012188569065183397,0.25106400182060173,0.11360214848610689,0.01778953416870185,0.0,1.0
8.528,-0.0056624617,102.255,-0.014742509675651792,-0.01277833104133606,0.32253390687896416,0.12160965209066085,0.023115071614950793,0.0,1.0
8.632,-0.00412065,102.263,-0.016097909637480968,-0.013287052839994427,0.3254628384085854,0.12862900496756194,0.02657513985482304,0.0,1.0
8.736,0.0022463547,102.265,-0.01748483122669161,-0.013384516183286902,0.31190132039072005,0.1332655768783594,0.0269792378724795,0.0,1.0
8.84,0.015113181,102.264,-0.018829880724027748,-0.012481820303946737,0.30591630873264747,0.13646625176518057,0.025831195263369487,0.0,1.0
8.944,0.036506962,102.266,-0.019988409165188674,-0.009797572795301654,0.2851331573816102,0.13713560510108208,0.02226495721642808,0.0,1.0
9.048,0.06704876,102.27,-0.020727342058137057,-0.004412675146013518,0.2371997579951895,0.1332637292140252,0.01460438957754269,0.0,1.0
9.152,0.10805685,102.27,-0.02071277472673357,0.004692816134542138,0.19494230396975584,0.1260688055601569,0.004910141859196606,0.0,1.0
9.36,0.20235132,102.264,-0.01637929415003957,0.03697526633366936,0.19954707510688469,0.12039632054632987,-0.0006410752358986787,0.0,1.0
9.464,0.27603588,102.26,-0.01124030752475556,0.06185139953717607,0.2421373950270011,0.12109201128725161,0.003403311630332839,0.0,1.0
9.568,0.32875448,102.269,-0.0031724089207500403,0.0933004966937005,0.20475479717106188,0.11975730633107552,0.005865611955569281,0.0,1.0
9.672,0.37131348,102.265,0.008423826599225505,0.12970403253659635,0.20497016852176103,0.12098042226549655,0.01215867544731183,0.0,1.0
9.776,0.4070327,102.271,0.0240176940562278,0.17017803394421932,0.1600378177820673,0.1205299115943994,0.017220279977199094,0.0,1.0
